Movie Title,Actor Name
The Help,​Christopher Lowell
Singin' in the Rain,A. Cameron Grant
The Incredibles,A.J. Riebli III
It Happened One Night,A.R. Haysel
3 Idiots,Aamir Khan
Dangal,Aamir Khan
Like Stars on Earth,Aamir Khan
The Dark Knight,Aaron Eckhart
The Dark Knight Rises,Aaron Eckhart
Finding Nemo,Aaron Fors
The Wolf of Wall Street,Aaron Glaser
Forrest Gump,Aaron Izbicki
Warrior,Aaron Kleiber
Avengers: Endgame,Aaron Lazar
Avengers: Infinity War,Aaron Lazar
The Wolf of Wall Street,Aaron Lazar
Gone Girl,Aaron Massey
Logan,Aaron Matthews
Forrest Gump,Aaron Michael Lacey
Into the Wild,Aaron Wayne Hill
Children of Heaven,Abbas-Ali Roomandi
Mad Max: Fury Road,Abbey Lee
"Three Billboards Outside Ebbing, Missouri",Abbie Cornish
La haine,Abdel Ahmed Ghili
Incendies,Abdelghafour Elaaziz
La haine,Abdel-Moulah Boujdouni
Terminator 2: Judgment Day,Abdul Salaam El Razzac
On the Waterfront,Abe Simon
The Godfather,Abe Vigoda
The Godfather Part II,Abe Vigoda
Mad Max: Fury Road,Abel Hofflin
Wild Tales,Abián Vainstein
Requiem for a Dream,Abraham Abraham
Requiem for a Dream,Abraham Aronofsky
The Intouchables,Absa Diatou Toure
3 Idiots,Achyut Potdar
The Sound of Music,Ada Beth Lee
The Matrix,Ada Nicodemou
Full Metal Jacket,Adam Baldwin
The Pianist,Adam Bauman
Spider-Man: Into the Spider-Verse,Adam Brown
Léon: The Professional,Adam Busch
The Elephant Man,Adam Caine
Warrior,Adam Christian Stanley
Inception,Adam Cole
Snatch,Adam Fogerty
A Beautiful Mind,Adam Goldberg
Before Sunrise,Adam Goldberg
Saving Private Ryan,Adam Goldberg
1917,Adam Hugill
Toy Story 3,Adam Joshua Jastrow
The Dark Knight,Adam Kalesperis
Batman Begins,Adam Kirley
Oppenheimer,Adam Kroeger
Gladiator,Adam Levy
Hachi: A Dog's Tale,Adam Masnyk
The Departed,Adam Masnyk
Ford v Ferrari,Adam Mayfield
Joker,Adam Quezada
Saving Private Ryan,Adam Shaw
Schindler's List,Adam Siemion
The Truman Show,Adam Tomei
Goodfellas,Adam Wandt
North by Northwest,Adam Williams
Singin' in the Rain,Adam York
Snatch,Ade
Life Is Beautiful,Adelaide Alaïs
The Silence of the Lambs,Adelle Lutz
12 Years a Slave,Adepero Oduye
Schindler's List,Adi Nitzan
To Be or Not to Be,Adolf E. Licho
Casablanca,Adolph Faylauer
North by Northwest,Adolph Faylauer
Paths of Glory,Adolphe Menjou
Whiplash,Adrian Burks
Full Metal Jacket,Adrian Bush
Once Upon a Time in America,Adrian Curran
Jurassic Park,Adrian Escober
The Pianist,Adrian Hood
Coco,Adrian Molina
Gone with the Wind,Adrian Morris
The Grapes of Wrath,Adrian Morris
Harry Potter and the Deathly Hallows: Part 2,Adrian Rawlins
1917,Adrian Scarborough
Amores Perros,Adriana Barraza
It's a Wonderful Life,Adriana Caselotti
The Wizard of Oz,Adriana Caselotti
Coco,Adriana Sevahn Nichols
The Grand Budapest Hotel,Adrien Brody
The Pianist,Adrien Brody
The Thing,Adrienne Barbeau
A Clockwork Orange,Adrienne Corri
Casablanca,Adrienne D'Ambricourt
Joker,Adrienne Lovette
The Matrix,Adryn White
Ben-Hur,Ady Berber
Forrest Gump,Afemo Omilami
Harry Potter and the Deathly Hallows: Part 2,Afshan Azad
Citizen Kane,Agnes Moorehead
Cinema Paradiso,Agnese Nano
Schindler's List,Agnieszka Korzeniowska
Schindler's List,Agnieszka Krukówna
Schindler's List,Agnieszka Wagner
Avengers: Endgame,Agostino Rosalina
Incendies,Ahmad Massad
Parasite,Ahn Jin-sang
Parasite,Ahn Seong-bong
The Help,Ahna O'Reilly
Gran Torino,Ahney Her
Kill Bill: Vol. 1,Ai Maeda
The Lord of the Rings: The Return of the King,Aidan Bell
The Dark Knight,Aidan Feore
The Dark Knight Rises,Aidan Gillen
Logan,Aidan Kennedy
Saving Private Ryan,Aiden Condron
In the Name of the Father,Aiden Grennell
Your Name.,Aika Oomae
Howl's Moving Castle,Aiko Nakajima
The Big Lebowski,Aimee Mann
In the Name of the Father,Aine O'Connor
The Dark Knight Rises,Aja Evans
Drishyam,Ajay Devgn
Requiem for a Dream,Ajay Naidu
The Big Lebowski,Ajgie Kirkland
Kill Bill: Vol. 1,Akaji Maro
Howl's Moving Castle,Akane Fujisaki
The Seventh Seal,Åke Fridell
Wild Strawberries,Åke Fridell
Grave of the Fireflies,Akemi Yamaguchi
3 Idiots,Akhil Mishra
Spirited Away,Aki Tachikawa
Ran,Akihiko Sugizaki
Howl's Moving Castle,Akihiro Miwa
Princess Mononoke,Akihiro Miwa
Harakiri,Akiji Kobayashi
My Neighbor Totoro,Akiko Hiramatsu
Spirited Away,Akiko Tomihira
Seven Samurai,Akio Kusama
Yojimbo,Akio Kusama
Spirited Away,Akio Nakamura
Howl's Moving Castle,Akio Otsuka
Howl's Moving Castle,Akio Tanaka
